     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
        9.51        10.84        65.07        14.01         0.07   810
        9.76        11.12        60.53        14.09         0.06   680
       10.01        11.41        56.30        14.51         0.08   756
       10.25        11.69        52.69        14.10         0.07   636
       10.51        11.98        48.76        13.52         0.08   752
       10.76        12.26        44.67        12.47         0.06   620
       11.00        12.53        40.74        12.17         0.07   745
       11.26        12.82        35.99        11.56         0.06   587
       11.51        13.11        31.98        11.75         0.08   695
       11.75        13.39        25.97        10.54         0.06   546
       12.00        13.67        21.69        11.76         0.06   684
       12.25        13.95        17.23        11.74         0.07   523
       12.51        14.24        13.26        11.55         0.08   666
       12.76        14.52        10.05        11.29         0.06   483
       13.01        14.80         5.97        11.09         0.07   579
       13.26        15.08         2.12        10.11         0.05   472
       13.51        15.36        -0.63        10.22         0.08   609
       13.76        15.64        -3.95        11.00         0.07   467
       14.01        15.92        -6.59        10.92         0.08   595
       14.26        16.20       -10.18        11.52         0.06   524
       14.51        16.49       -12.07        11.86         0.08   621
       14.76        16.77       -14.18        10.18         0.06   545
       15.01        17.05       -16.17        10.66         0.07   669
       15.26        17.33       -16.60         9.22         0.07   559
       15.51        17.60       -15.69         8.52         0.07   732
       15.76        17.89       -14.87         8.26         0.07   612
       16.01        18.17       -11.82         9.11         0.07   765
       16.26        18.44        -8.62         9.00         0.08   679
       16.51        18.72        -5.63         9.66         0.07   766
       16.76        19.00        -1.08        12.39         0.06   646
       17.01        19.28         4.30        11.90         0.09   785
       17.26        19.56        10.83        12.67         0.07   735
       17.51        19.84        18.59        14.25         0.07   818
       17.76        20.12        27.60        13.43         0.06   772
       18.01        20.39        37.07        12.41         0.08   832
       18.26        20.67        46.12        13.65         0.07   756
       18.51        20.95        54.90        16.39         0.06   797
       18.76        21.23        68.61        17.92         0.07   642
       19.01        21.51        80.55        18.26         0.08   694
       19.26        21.78        91.86        15.44         0.08   658
       19.51        22.06       103.48        15.34         0.07   692
       19.76        22.33       114.85        15.52         0.06   672
       20.01        22.61       124.83        14.77         0.06   688
       20.26        22.89       134.58        14.25         0.05   622
       20.51        23.16       142.57        11.90         0.09   678
       20.76        23.44       150.01        10.31         0.06   642
       21.01        23.71       150.38        12.43         0.10   744
       21.26        23.99       147.92        12.32         0.03   653
       21.51        24.26       138.89        13.72         0.08   670
       21.76        24.54       126.15        13.36         0.07   656
       22.01        24.81       113.45        13.41         0.07   755
       22.26        25.08       103.32        13.49         0.08   682
       22.51        25.36        89.84        14.93         0.04   708
       22.76        25.63        79.08        11.66         0.08   701
       23.01        25.91        69.01        11.84         0.08   735
       23.26        26.18        58.80        11.62         0.09   628
       23.52        26.46        49.22         9.16         0.07   730
       23.76        26.72        42.55         9.25         0.03   661
       24.01        27.00        35.58         8.07         0.08   721
       24.26        27.27        30.99         7.30         0.07   637
       24.51        27.54        28.23         7.38         0.10   706
       24.77        27.81        25.94         7.05         0.06   615
       25.01        28.08        24.31         7.34         0.06   641
       25.26        28.35        21.25         8.17         0.07   553
       25.52        28.63        17.21         8.85         0.06   609
       25.76        28.90        12.28        10.96         0.06   474
       26.01        29.17         4.35        12.15         0.08   587
       26.27        29.44        -1.69        10.22         0.09   523
       26.52        29.71        -8.16         9.80         0.05   575
       26.77        29.98       -14.10        10.21         0.06   463
       27.01        30.24       -18.90        10.33         0.07   563
       27.27        30.52       -23.62         9.50         0.05   452
       27.52        30.78       -26.54         9.41         0.08   559
       27.77        31.05       -27.45         8.19         0.05   488
       28.01        31.32       -26.59         9.24         0.11   575
       28.27        31.59       -25.06         8.95         0.05   444
       28.52        31.85       -21.66         9.00         0.09   534
       28.77        32.12       -18.09         8.85         0.06   449
       29.01        32.38       -13.60         9.69         0.06   470
       29.27        32.66        -8.80        10.42         0.06   346
       29.52        32.92        -2.09        10.10         0.07   377
       29.76        33.18         6.51         8.67         0.09   298
       30.01        33.45        12.74         8.41         0.06   326
